"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test check the removal of products from the cart in products page - verify cart has 2 less products","8575","Test 18 remove products from cart in products page","tests.product","Fri Oct 10 10:28:25 UTC 2025","passed","Fri Oct 10 10:28:33 UTC 2025","TestProductsRemove","test_products_remove","",""
"This test open the menu and goes to about page","6693","Test 16 Open menu about","tests.menu","Fri Oct 10 10:27:24 UTC 2025","passed","Fri Oct 10 10:27:31 UTC 2025","TestMenuOptions","test_menu_options","",""
"This test check the sorting the products page according to az","4878","Test 10 sort az products list","tests.sort","Fri Oct 10 10:28:36 UTC 2025","passed","Fri Oct 10 10:28:40 UTC 2025","Test_10_sort_az","test_10_sort_az","",""
"This test check the return to products page - after clicks on continue shopping","7502","Test 20 cart continue shopping","tests.checkout","Fri Oct 10 10:25:38 UTC 2025","passed","Fri Oct 10 10:25:46 UTC 2025","TestCheckoutCheckout","test_checkout_checkout","",""
"This test all menu options","16131","Test 17 Open menu flow","tests.menu","Fri Oct 10 10:26:47 UTC 2025","passed","Fri Oct 10 10:27:03 UTC 2025","TestMenuFlow","test_menu_flow","",""
"This test checkout after adding 2 products to cart from products page - Checkout successfully","12740","Test 22 checkout 2prod flow","tests.checkout","Fri Oct 10 10:25:23 UTC 2025","passed","Fri Oct 10 10:25:36 UTC 2025","TestCheckout2ProdFlow","test_checkout_2prod_flow","",""
"This test check the positive relogin scenario","8260","Test 07 relogin valid user","tests.login","Fri Oct 10 10:26:36 UTC 2025","passed","Fri Oct 10 10:26:44 UTC 2025","TestRelogin","test_relogin","",""
"This test check the positive login scenario","1947","Test 01 login valid user","tests.login","Fri Oct 10 10:26:18 UTC 2025","passed","Fri Oct 10 10:26:20 UTC 2025","TestLogin","test_login","",""
"This test check the negative login scenario - wrong user and password","1919","Test 02 login fail - non-valid user","tests.login","Fri Oct 10 10:26:23 UTC 2025","passed","Fri Oct 10 10:26:25 UTC 2025","TestLoginFail","test_loginfail","",""
"This test open the header menu","6956","Test 05 Open menu heder","tests.menu","Fri Oct 10 10:27:15 UTC 2025","passed","Fri Oct 10 10:27:22 UTC 2025","TestMenuOptions","test_menu_options","",""
"This test open the menu and goes to all items - products page","6516","Test 15 menu all items","tests.menu","Fri Oct 10 10:27:06 UTC 2025","passed","Fri Oct 10 10:27:12 UTC 2025","TestMenuOptions","test_menu_options","",""
"This test check the removal of products from the cart - verify cart has 2 less products","9225","Test 06 remove products from cart","tests.cart","Fri Oct 10 10:25:11 UTC 2025","passed","Fri Oct 10 10:25:20 UTC 2025","TestCartRemove","test_cart_remove","",""
"This test check the adding 2 products to cart from products page - verify cart has 2 more products","12722","Test 03 add 2 products","tests.product","Fri Oct 10 10:27:33 UTC 2025","passed","Fri Oct 10 10:27:46 UTC 2025","TestProductAdd2Prod","test_product_add_2prod","",""
"This test check the sorting the products page according to hilo","4868","Test 13 hilo sort products list","tests.sort","Fri Oct 10 10:28:58 UTC 2025","passed","Fri Oct 10 10:29:03 UTC 2025","Test_13_sort_lohi","test_13_sort_lohi","",""
"This test check the sorting the products page according to hilo","4847","Test 12 hilo sort products list","tests.sort","Fri Oct 10 10:28:50 UTC 2025","passed","Fri Oct 10 10:28:55 UTC 2025","Test_12_sort_hilo","test_12_sort_hilo","",""
"This test calc the tax for all products prices in the cart","7531","Test 23 checkout overview tax for total price","tests.checkout","Fri Oct 10 10:25:48 UTC 2025","passed","Fri Oct 10 10:25:56 UTC 2025","TestCheckoutOverviewTaxPrice","test_checkout_overview_tax_price","",""
"This test check sum of all products prices in the checkout overview","7572","Test 23 checkout overview sum prices","tests.checkout","Fri Oct 10 10:26:08 UTC 2025","passed","Fri Oct 10 10:26:16 UTC 2025","TestCheckoutOverviewSumPrices","test_checkout_sum_prices","",""
"This test check the return to products page - after clicks on continue shopping","5594","Test 20 cart continue shopping","tests.cart","Fri Oct 10 10:25:03 UTC 2025","passed","Fri Oct 10 10:25:09 UTC 2025","TestCartContinueShopping","test_cart_continue_shopping","",""
"This test calc the tax for all products prices in the cart","7566","Test 24 checkout overview tax for total price","tests.checkout","Fri Oct 10 10:25:58 UTC 2025","passed","Fri Oct 10 10:26:06 UTC 2025","TestCheckoutOverviewTaxPrice","test_checkout_overview_total_w_tax","",""
"This test check the sorting the products page according to za","4851","Test 11 sort za products list","tests.sort","Fri Oct 10 10:28:43 UTC 2025","passed","Fri Oct 10 10:28:48 UTC 2025","Test_11_sort_za","test_11_sort_za","",""
"This test check the adding 2 products to cart from products page - verify cart has 2 more products","13972","Test 14 add 2 products in products page","tests.product","Fri Oct 10 10:28:08 UTC 2025","passed","Fri Oct 10 10:28:22 UTC 2025","TestProductsAdd2Prod","test_products_add_2prod","",""
"This test check the positive logout scenario","6405","Test 9 logout valid user","tests.login","Fri Oct 10 10:26:27 UTC 2025","passed","Fri Oct 10 10:26:34 UTC 2025","TestLoginLogout","test_loginlogout","",""
"This test check the removal of products from the cart in product page - verify cart has 2 less products","17038","Test 19 remove products from cart in product page","tests.product","Fri Oct 10 10:27:48 UTC 2025","passed","Fri Oct 10 10:28:05 UTC 2025","TestProductRemove","test_product_remove","",""
"This test check the negative login scenario - wrong user and password","1941","Test 02 login fail - non-valid user","tests.login","Fri Oct 10 10:29:05 UTC 2025","failed","Fri Oct 10 10:29:07 UTC 2025","TestLoginFail","test_loginfail","",""
